Tonga,Gloss,Tone,C1,C2,maxf0,minf0,meanf0,diff.f0,intensity,duration,C1.class,C2.class
ku-fuw-a,skin,L,f,w,181.0084028,174.1497308,177.6401472,37.99524673,66.89472814,74.70861588,voiceless obstruents,sonorants
ku-las-a,stab,L,l,s,168.9319689,153.0491712,161.1758026,15.84610388,77.03810127,67.94906115,sonorants,voiceless obstruents
ku-liy-a,cry out,L,l,y,173.1747406,155.3857916,162.5710594,12.53611047,71.02210583,75.62034627,sonorants,sonorants
ku-negh-a,drawwter,L,n,gh,181.6220007,166.8286054,174.0648595,29.17643579,74.97786793,91.80483018,sonorants,sonorants
ku-nowa,be swet,L,n,w,187.5473271,170.0497356,179.8917567,30.22433545,72.30350142,83.03422344,sonorants,sonorants
ku-penj-a,look for,L,p,nj,170.3010386,166.6924323,167.8822124,27.33559521,71.14345479,64.61132615,voiceless obstruents,prenasalized voiced stops
ku-sef-a,sift,L,s,f,173.2814466,160.5161424,168.7268636,37.60360055,71.75735444,62.30073496,voiceless obstruents,voiceless obstruents
ku-jwt-ik-a,put something among things quickly,L,jw,t,174.8465561,163.3857237,171.0684483,21.56941261,74.21089454,49.6473911,voiced obstruent wth glide,voiceless obstruents
ku-thwnuk-a,open ones eyes,L,thw,n,172.0254484,159.159713,162.7257791,8.867143439,72.03940008,41.87158398,aspirate wth glide,sonorants
ku-vwl-a,to war clothes,L,vw,l,171.0481501,154.6639453,162.5642003,30.10375483,76.7329702,44.85294897,voiced obstruent wth glide,sonorants
ku-zwzwt-a,swng to and fro,L,zw,zw,206.955873,176.931952,199.034262,45.854154,73.2181948,44.5104408,voiced obstruent wth glide,voiced obstruent wth glide
ku-fuvy-a,deceive,L,f,vy,220.7992022,187.2687531,212.0546101,67.97335503,69.05843879,66.62227661,voiceless obstruents,voiced obstruent wth glide
ku-sit-a,iron clothes,L,s,t,201.9577584,198.1058175,201.0083426,45.35427959,61.69018043,31.97728324,voiceless obstruents,voiceless obstruents
ku-wl-a,throwfood in mouth,L,w,l,197.4019584,195.0762064,196.3772804,34.04354772,74.28198187,52.5004964,sonorants,sonorants
ku-vimb-a,cover,L,v,mb,176.1832463,159.0742306,170.6088106,25.10714476,69.04793654,50.24833547,voiced obstruents,prenasalized voiced stops
ku-sit-a,give awy money in gambling,H,s,t,167.4651161,160.8785324,165.8170912,7.725671796,62.9593965,27.83188286,voiceless obstruents,voiceless obstruents
ku-hol-a,be scored,H,h,l,154.2849097,130.3934855,145.78003,-4.012916648,69.13402208,89.89450467,aspirates,sonorants
ku-jam-a,jam,H,j,m,151.2666127,149.1326564,150.3469946,-1.369742756,74.31772898,58.70448764,voiced obstruents,sonorants
ku-phat-a,get stuck,H,ph,t,157.79291,150.1564682,152.4191082,3.280201723,71.56172813,37.49586454,aspirates,voiceless obstruents
ku-then-a,give too little,H,th,n,156.8869406,145.5087341,150.8359749,0.478866445,69.20085843,60.22884084,aspirates,sonorants
ku-vimb-a,be constipated,H,v,mb,147.4383135,138.8121095,145.4388018,-3.136966667,67.69271839,54.5871282,voiced obstruents,prenasalized voiced stops
ku-fws-a,be calm/quiet,H,fw,s,144.0123628,138.5272889,141.2496705,14.14904339,69.08849031,51.48104513,voiceless obstruent wth glide,voiceless obstruents
ku-gh-a,be there,H,gh,none,160.4293402,155.8327932,159.6140768,6.684056334,74.9316954,96.03640628,sonorants,none
ku-m-a,stand,H,m,none,150.2822868,145.9196759,147.7595839,1.00513331,69.16586788,84.96768791,sonorants,none
ku-mwa,drink,H,mw,none,152.4780911,151.4401069,151.8905839,1.740712187,71.61520812,56.74242431,sonorants,none
ku-ng'-a,defecate,H,ng',none,159.6493793,155.8730807,156.9309999,-3.298869531,72.0231034,82.15577716,sonorants,none
ku-p-ik-a,be given,H,p,k,131.4821458,129.0941685,130.5450023,5.710521208,61.03274864,41.17509223,voiceless obstruents,voiceless obstruents
ku-samwa,be choked,H,s,mw,163.796389,142.9926461,151.3727769,21.55189215,71.91689366,77.97257362,voiceless obstruents,sonorant wth glide
